PC_DESC,UNIT OF QTY,COUNTRY,QTY,VAL (MILL US $)
TEA,KGS,ARGENTINA,,2.58
TEA,KGS,AUSTRALIA,,0.0
TEA,KGS,AUSTRIA,,0.0
TEA,KGS,BELGIUM,,0.0
TEA,KGS,CANADA,,0.02
TEA,KGS,CHINA P RP,,2.59
TEA,KGS,COLOMBIA,,0.01
TEA,KGS,CROATIA,,0.0
TEA,KGS,CZECH REPUBLIC,,0.01
TEA,KGS,ETHIOPIA,,0.0
TEA,KGS,FRANCE,,0.01
TEA,KGS,GERMANY,,0.59
TEA,KGS,HONG KONG,,0.01
TEA,KGS,INDONESIA,,1.09
TEA,KGS,IRAN,,2.96
TEA,KGS,ITALY,,0.08
TEA,KGS,JAPAN,,0.16
TEA,KGS,KENYA,,11.15
TEA,KGS,KOREA RP,,0.01
TEA,KGS,MALAWI,,0.89
TEA,KGS,MALAYSIA,,0.04
TEA,KGS,MOZAMBIQUE,,0.02
TEA,KGS,MYANMAR,,0.06
TEA,KGS,NEPAL,,25.69
TEA,KGS,NETHERLAND,,0.1
TEA,KGS,PAPUA N GNA,,0.03
TEA,KGS,POLAND,,0.01
TEA,KGS,RUSSIA,,0.22
TEA,KGS,RWANDA,,0.01
TEA,KGS,SINGAPORE,,0.29
TEA,KGS,SOUTH AFRICA,,0.04
TEA,KGS,SRI LANKA DSR,,1.72
TEA,KGS,SWEDEN,,0.0
TEA,KGS,SWITZERLAND,,0.01
TEA,KGS,TAIWAN,,0.15
TEA,KGS,TANZANIA REP,,0.06
TEA,KGS,THAILAND,,0.01
TEA,KGS,U ARAB EMTS,,0.05
TEA,KGS,U K,,0.36
TEA,KGS,U S A,,0.42
TEA,KGS,UNSPECIFIED,,0.77
TEA,KGS,VIETNAM SOC REP,,1.75
TEA,KGS,VIRGIN IS US,,0.0
TEA,KGS,ZIMBABWE,,1.4
COFFEE,KGS,BAHARAIN IS,,0.0
COFFEE,KGS,BRAZIL,,0.24
COFFEE,KGS,CHINA P RP,,0.68
COFFEE,KGS,COLOMBIA,,0.8
COFFEE,KGS,COTE D' IVOIRE,,1.96
COFFEE,KGS,CZECH REPUBLIC,,0.0
COFFEE,KGS,EGYPT A RP,,0.0
COFFEE,KGS,ETHIOPIA,,0.3
COFFEE,KGS,FRANCE,,0.0
COFFEE,KGS,GERMANY,,0.07
COFFEE,KGS,HONDURAS,,1.09
COFFEE,KGS,INDONESIA,,16.66
COFFEE,KGS,ITALY,,0.57
COFFEE,KGS,JAMAICA,,0.01
COFFEE,KGS,JORDAN,,0.07
COFFEE,KGS,KENYA,,0.83
COFFEE,KGS,KOREA RP,,1.2
COFFEE,KGS,LAO PD RP,,1.63
COFFEE,KGS,MALAYSIA,,0.36
COFFEE,KGS,MEXICO,,0.85
COFFEE,KGS,NETHERLAND,,0.02
COFFEE,KGS,NICARAGUA,,1.36
COFFEE,KGS,OMAN,,0.0
COFFEE,KGS,PANAMA REPUBLIC,,0.02
COFFEE,KGS,PAPUA N GNA,,1.91
COFFEE,KGS,PERU,,2.42
COFFEE,KGS,POLAND,,0.14
COFFEE,KGS,RWANDA,,0.0
COFFEE,KGS,SINGAPORE,,0.02
COFFEE,KGS,SOUTH AFRICA,,0.0
COFFEE,KGS,SPAIN,,0.0
COFFEE,KGS,SWEDEN,,0.07
COFFEE,KGS,SWITZERLAND,,0.0
COFFEE,KGS,TAIWAN,,0.24
COFFEE,KGS,TANZANIA REP,,1.01
COFFEE,KGS,THAILAND,,0.0
COFFEE,KGS,TURKEY,,0.13
COFFEE,KGS,U ARAB EMTS,,0.53
COFFEE,KGS,U K,,0.15
COFFEE,KGS,U S A,,0.33
COFFEE,KGS,UGANDA,,22.24
COFFEE,KGS,UNSPECIFIED,,0.62
COFFEE,KGS,VIETNAM SOC REP,,96.18
COFFEE,KGS,VIRGIN IS US,,0.0
RICE(OTHER THAN BASMOTI),KGS,IRAQ,,0.03
RICE(OTHER THAN BASMOTI),KGS,ITALY,,0.36
RICE(OTHER THAN BASMOTI),KGS,SINGAPORE,,0.01
RICE(OTHER THAN BASMOTI),KGS,SPAIN,,0.47
RICE(OTHER THAN BASMOTI),KGS,THAILAND,,0.48
RICE(OTHER THAN BASMOTI),KGS,U S A,,0.27
RICE(OTHER THAN BASMOTI),KGS,UNSPECIFIED,,0.27
RICE(OTHER THAN BASMOTI),KGS,VIETNAM SOC REP,,0.01
WHEAT,KGS,AUSTRALIA,,125.63
WHEAT,KGS,LITHUANIA,,1.67
WHEAT,KGS,MEXICO,,0.05
WHEAT,KGS,MOLDOVA,,0.36
WHEAT,KGS,RUSSIA,,86.87
WHEAT,KGS,UKRAINE,,149.93
OTHER CEREALS,KGS,ARGENTINA,,38.14
OTHER CEREALS,KGS,AUSTRALIA,,5.83
OTHER CEREALS,KGS,BELGIUM,,0.01
OTHER CEREALS,KGS,BRAZIL,,2.02
OTHER CEREALS,KGS,CANADA,,0.1
OTHER CEREALS,KGS,CHINA P RP,,0.05
OTHER CEREALS,KGS,FRANCE,,2.36
OTHER CEREALS,KGS,GERMANY,,0.0
OTHER CEREALS,KGS,INDONESIA,,0.0
OTHER CEREALS,KGS,LEBANON,,0.02
OTHER CEREALS,KGS,MEXICO,,0.0
OTHER CEREALS,KGS,NEPAL,,0.31
OTHER CEREALS,KGS,PHILIPPINES,,0.0
OTHER CEREALS,KGS,SOUTH AFRICA,,1.41
OTHER CEREALS,KGS,SPAIN,,0.0
OTHER CEREALS,KGS,THAILAND,,0.0
OTHER CEREALS,KGS,TURKEY,,0.05
OTHER CEREALS,KGS,U ARAB EMTS,,0.0
OTHER CEREALS,KGS,U S A,,3.01
OTHER CEREALS,KGS,UKRAINE,,0.18
OTHER CEREALS,KGS,UNSPECIFIED,,0.74
OTHER CEREALS,KGS,URUGUAY,,13.05
PULSES,KGS,AFGHANISTAN,,10.72
PULSES,KGS,ARGENTINA,,14.7
PULSES,KGS,AUSTRALIA,,924.14
PULSES,KGS,AUSTRIA,,0.1
PULSES,KGS,BOLIVIA,,0.94
PULSES,KGS,BRAZIL,,1.67
PULSES,KGS,BULGARIA,,18.44
PULSES,KGS,CANADA,,706.78
PULSES,KGS,CHINA P RP,,58.11
PULSES,KGS,DJIBOUTI,,0.02
PULSES,KGS,EGYPT A RP,,1.62
PULSES,KGS,ESTONIA,,0.77
PULSES,KGS,ETHIOPIA,,19.73
PULSES,KGS,FRANCE,,30.08
PULSES,KGS,GERMANY,,8.86
PULSES,KGS,IRAN,,0.1
PULSES,KGS,IRAQ,,0.28
PULSES,KGS,ITALY,,0.44
PULSES,KGS,KAZAKHSTAN,,0.19
PULSES,KGS,KENYA,,0.9
PULSES,KGS,KYRGHYZSTAN,,0.6
PULSES,KGS,LITHUANIA,,26.74
PULSES,KGS,MADAGASCAR,,0.54
PULSES,KGS,MALAWI,,6.13
PULSES,KGS,MEXICO,,4.39
PULSES,KGS,MOLDOVA,,1.09
PULSES,KGS,MOZAMBIQUE,,59.02
PULSES,KGS,MYANMAR,,430.06
PULSES,KGS,NEPAL,,0.18
PULSES,KGS,NIGERIA,,1.47
PULSES,KGS,PAKISTAN IR,,1.54
